NEIGHBORHOOD,TYPE OF HOME,NUMBER OF SALES,LOWEST SALE PRICE,AVERAGE SALE PRICE,MEDIAN SALE PRICE,HIGHEST SALE PRICE,,
SPRINGFIELD GARDENS      ,03 THREE FAMILY HOMES                      ,1 ,"$603,000","$603,000","$603,000","$603,000",,
ST. ALBANS               ,01 ONE FAMILY HOMES                        ,284 ,"$160,000","$416,969","$414,745","$734,000",,
ST. ALBANS               ,02 TWO FAMILY HOMES                        ,127 ,"$150,000","$521,685","$540,000","$950,000",,
ST. ALBANS               ,03 THREE FAMILY HOMES                      ,5 ,"$390,000","$551,000","$535,000","$810,000",,
SUNNYSIDE                ,01 ONE FAMILY HOMES                        ,22 ,"$360,000","$599,595","$587,500","$900,000",,
SUNNYSIDE                ,02 TWO FAMILY HOMES                        ,32 ,"$150,000","$708,556","$751,500","$1,000,000",,
SUNNYSIDE                ,03 THREE FAMILY HOMES                      ,10 ,"$530,000","$825,493","$820,000","$1,141,000",,
WHITESTONE               ,01 ONE FAMILY HOMES                        ,154 ,"$150,000","$796,973","$645,000","$4,900,000",,
WHITESTONE               ,02 TWO FAMILY HOMES                        ,63 ,"$150,000","$780,882","$780,000","$1,180,000",,
WHITESTONE               ,03 THREE FAMILY HOMES                      ,6 ,"$188,173","$757,946","$750,000","$1,260,000",,
WOODHAVEN                ,01 ONE FAMILY HOMES                        ,119 ,"$205,000","$454,610","$443,000","$750,000",,
WOODHAVEN                ,02 TWO FAMILY HOMES                        ,122 ,"$230,000","$584,485","$610,130","$795,000",,
WOODHAVEN                ,03 THREE FAMILY HOMES                      ,30 ,"$210,000","$622,627","$620,000","$785,000",,
WOODSIDE                 ,01 ONE FAMILY HOMES                        ,49 ,"$217,500","$664,771","$616,000","$2,000,000",,
WOODSIDE                 ,02 TWO FAMILY HOMES                        ,52 ,"$250,000","$720,973","$700,500","$1,410,000",,
WOODSIDE                 ,03 THREE FAMILY HOMES                      ,20 ,"$570,000","$849,783","$844,000","$1,100,000",,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
