NEIGHBORHOOD,TYPE OF HOME,NUMBER OF SALES,LOWEST SALE PRICE,AVERAGE SALE PRICE,MEDIAN SALE PRICE,HIGHEST SALE PRICE,,
KEW GARDENS              ,03 THREE FAMILY HOMES                      , 	2 ,"$450,000","$477,500","$477,500","$505,000",,
LAURELTON                ,01 ONE FAMILY HOMES                        , 	121 ,"$163,000","$402,037","$413,744","$668,330",,
LAURELTON                ,02 TWO FAMILY HOMES                        , 	59 ,"$200,000","$482,862","$503,862","$700,000",,
LITTLE NECK              ,01 ONE FAMILY HOMES                        , 	75 ,"$285,000","$780,915","$710,000","$1,934,750",,
LITTLE NECK              ,02 TWO FAMILY HOMES                        , 	14 ,"$600,000","$1,034,753","$983,500","$2,200,000",,
LONG ISLAND CITY         ,01 ONE FAMILY HOMES                        , 	8 ,"$275,000","$549,063","$417,500","$1,400,000",,
LONG ISLAND CITY         ,02 TWO FAMILY HOMES                        , 	34 ,"$150,000","$848,783","$797,500","$2,100,000",,
LONG ISLAND CITY         ,03 THREE FAMILY HOMES                      , 	11 ,"$400,000","$913,139","$900,000","$1,600,000",,
MASPETH                  ,01 ONE FAMILY HOMES                        , 	85 ,"$225,000","$477,276","$472,000","$815,334",,
MASPETH                  ,02 TWO FAMILY HOMES                        , 	98 ,"$189,500","$580,111","$567,000","$905,000",,
MASPETH                  ,03 THREE FAMILY HOMES                      , 	20 ,"$470,000","$701,628","$702,500","$955,000",,
MIDDLE VILLAGE           ,01 ONE FAMILY HOMES                        , 	101 ,"$160,000","$516,975","$517,000","$920,000",,
MIDDLE VILLAGE           ,02 TWO FAMILY HOMES                        , 	76 ,"$233,000","$636,014","$632,500","$1,237,500",,
MIDDLE VILLAGE           ,03 THREE FAMILY HOMES                      , 	24 ,"$186,303","$714,352","$762,500","$1,104,801",,
NEPONSIT                 ,01 ONE FAMILY HOMES                        , 	21 ,"$265,000","$845,157","$916,500","$1,500,000",,
OAKLAND GARDENS          ,01 ONE FAMILY HOMES                        , 	83 ,"$240,000","$749,568","$700,000","$1,486,645",,
OAKLAND GARDENS          ,02 TWO FAMILY HOMES                        , 	12 ,"$655,000","$873,490","$900,000","$997,885",,
OAKLAND GARDENS          ,03 THREE FAMILY HOMES                      , 	3 ,"$835,000","$851,667","$840,000","$880,000",,
OZONE PARK               ,01 ONE FAMILY HOMES                        , 	101 ,"$150,000","$424,593","$415,000","$1,350,000",,
OZONE PARK               ,02 TWO FAMILY HOMES                        , 	129 ,"$185,000","$487,823","$499,550","$795,000",,
OZONE PARK               ,03 THREE FAMILY HOMES                      , 	24 ,"$475,000","$664,768","$690,000","$799,530",,
QUEENS VILLAGE           ,01 ONE FAMILY HOMES                        , 	214 ,"$160,000","$394,672","$397,271","$723,000",,
QUEENS VILLAGE           ,02 TWO FAMILY HOMES                        , 	92 ,"$176,182","$502,010","$526,587","$710,000",,
QUEENS VILLAGE           ,03 THREE FAMILY HOMES                      , 	5 ,"$350,000","$557,000","$600,000","$725,000",,
REGO PARK                ,01 ONE FAMILY HOMES                        , 	51 ,"$260,000","$614,699","$600,000","$985,000",,
REGO PARK                ,02 TWO FAMILY HOMES                        , 	18 ,"$475,000","$835,892","$903,125","$1,100,000",,
REGO PARK                ,03 THREE FAMILY HOMES                      , 	4 ,"$679,714","$780,929","$722,500","$999,000",,
RICHMOND HILL            ,01 ONE FAMILY HOMES                        , 	171 ,"$150,000","$411,830","$410,000","$757,500",,
RICHMOND HILL            ,02 TWO FAMILY HOMES                        , 	189 ,"$150,000","$518,755","$515,000","$1,900,000",,
RICHMOND HILL            ,03 THREE FAMILY HOMES                      , 	26 ,"$305,000","$584,751","$592,000","$765,758",,
RIDGEWOOD                ,01 ONE FAMILY HOMES                        , 	9 ,"$310,000","$404,290","$410,000","$465,000",,
RIDGEWOOD                ,02 TWO FAMILY HOMES                        , 	103 ,"$185,000","$547,721","$550,000","$999,500",,
RIDGEWOOD                ,03 THREE FAMILY HOMES                      , 	21 ,"$258,570","$575,541","$560,000","$935,000",,
ROCKAWAY PARK            ,01 ONE FAMILY HOMES                        , 	4 ,"$160,000","$366,250","$332,500","$640,000",,
ROCKAWAY PARK            ,02 TWO FAMILY HOMES                        , 	11 ,"$235,000","$523,028","$499,999","$725,000",,
ROCKAWAY PARK            ,03 THREE FAMILY HOMES                      , 	1 ,"$558,000","$558,000","$558,000","$558,000",,
ROSEDALE                 ,01 ONE FAMILY HOMES                        , 	126 ,"$150,000","$406,895","$390,000","$700,000",,
ROSEDALE                 ,02 TWO FAMILY HOMES                        , 	141 ,"$150,305","$521,849","$560,000","$858,689",,
ROSEDALE                 ,03 THREE FAMILY HOMES                      , 	7 ,"$150,000","$484,299","$530,000","$605,000",,
SO. JAMAICA-BAISLEY PARK ,01 ONE FAMILY HOMES                        , 	278 ,"$150,000","$343,656","$350,000","$735,000",,
SO. JAMAICA-BAISLEY PARK ,02 TWO FAMILY HOMES                        , 	132 ,"$180,000","$471,544","$474,400","$700,000",,
SO. JAMAICA-BAISLEY PARK ,03 THREE FAMILY HOMES                      , 	3 ,"$240,000","$484,628","$588,883","$625,000",,
SOUTH JAMAICA            ,01 ONE FAMILY HOMES                        , 	185 ,"$160,000","$360,744","$365,000","$670,000",,
SOUTH JAMAICA            ,02 TWO FAMILY HOMES                        , 	183 ,"$180,000","$468,510","$494,268","$1,245,970",,
SOUTH JAMAICA            ,03 THREE FAMILY HOMES                      , 	27 ,"$250,000","$509,965","$550,000","$717,000",,
SOUTH OZONE PARK         ,01 ONE FAMILY HOMES                        , 	180 ,"$189,000","$403,346","$385,000","$880,000",,
SOUTH OZONE PARK         ,02 TWO FAMILY HOMES                        , 	136 ,"$150,000","$509,203","$532,469","$810,000",,
SOUTH OZONE PARK         ,03 THREE FAMILY HOMES                      , 	4 ,"$400,000","$540,000","$555,000","$650,000",,
SPRINGFIELD GARDENS      ,01 ONE FAMILY HOMES                        , 	211 ,"$159,250","$367,621","$367,500","$700,000",,
SPRINGFIELD GARDENS      ,02 TWO FAMILY HOMES                        , 	177 ,"$155,000","$497,670","$535,000","$850,000",,
