NEIGHBORHOOD,TYPE OF HOME,NUMBER OF SALES,LOWEST SALE PRICE,AVERAGE SALE PRICE,MEDIAN SALE PRICE,HIGHEST SALE PRICE
SOUTH OZONE PARK         ,01 ONE FAMILY HOMES     ,151 ,"$150,000","$310,902","$300,000","$755,000"
SOUTH OZONE PARK         ,02 TWO FAMILY HOMES     ,116 ,"$157,835","$394,291","$387,500","$725,000"
SOUTH OZONE PARK         ,03 THREE FAMILY HOMES   ,1 ,"$176,750","$176,750","$176,750","$176,750"
SPRINGFIELD GARDENS      ,01 ONE FAMILY HOMES     ,125 ,"$155,000","$281,920","$275,000","$589,000"
SPRINGFIELD GARDENS      ,02 TWO FAMILY HOMES     ,115 ,"$175,000","$386,646","$390,000","$712,003"
SPRINGFIELD GARDENS      ,03 THREE FAMILY HOMES   ,2 ,"$559,000","$579,500","$579,500","$600,000"
ST. ALBANS               ,01 ONE FAMILY HOMES     ,205 ,"$150,000","$288,484","$290,000","$490,000"
ST. ALBANS               ,02 TWO FAMILY HOMES     ,96 ,"$150,000","$327,289","$296,509","$1,020,000"
ST. ALBANS               ,03 THREE FAMILY HOMES   ,4 ,"$255,000","$342,237","$337,500","$438,946"
SUNNYSIDE                ,01 ONE FAMILY HOMES     ,14 ,"$300,000","$533,607","$504,500","$800,000"
SUNNYSIDE                ,02 TWO FAMILY HOMES     ,22 ,"$156,000","$645,167","$650,000","$980,000"
SUNNYSIDE                ,03 THREE FAMILY HOMES   ,1 ,"$685,000","$685,000","$685,000","$685,000"
WHITESTONE               ,01 ONE FAMILY HOMES     ,98 ,"$150,000","$684,737","$575,000","$2,625,000"
WHITESTONE               ,02 TWO FAMILY HOMES     ,29 ,"$316,170","$713,192","$740,000","$1,182,000"
WHITESTONE               ,03 THREE FAMILY HOMES   ,3 ,"$342,500","$745,167","$898,000","$995,000"
WOODHAVEN                ,01 ONE FAMILY HOMES     ,70 ,"$160,000","$320,845","$320,000","$547,381"
WOODHAVEN                ,02 TWO FAMILY HOMES     ,115 ,"$155,000","$386,133","$376,000","$788,000"
WOODHAVEN                ,03 THREE FAMILY HOMES   ,20 ,"$160,605","$373,817","$368,000","$660,000"
WOODSIDE                 ,01 ONE FAMILY HOMES     ,21 ,"$185,000","$489,569","$500,000","$775,000"
WOODSIDE                 ,02 TWO FAMILY HOMES     ,26 ,"$200,000","$598,769","$597,500","$1,170,000"
WOODSIDE                 ,03 THREE FAMILY HOMES   ,24 ,"$365,000","$771,502","$750,000","$1,109,892"
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
