Seven Major Felony Offenses,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
PCT,CRIME,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
,TOTAL SEVEN MAJOR FELONY OFFENSES,3685,2895,2764,2505,2440,2350,2289,2217,2167,2046,1994,2072,2204,2191,2306,2469,2260,2112
45,MURDER & NON NEGL. MANSLAUGHTER                                ,7,5,3,4,7,4,4,6,4,1,1,6,2,5,0,3,7,2
,RAPE                                  ,22,17,20,22,12,18,13,12,14,15,19,13,17,9,11,7,17,10
,ROBBERY                               ,224,212,200,195,237,233,245,195,222,200,239,213,190,162,165,160,142,144
,FELONY ASSAULT                        ,206,194,162,161,166,183,157,194,125,168,180,162,187,163,165,187,175,196
,BURGLARY                              ,381,363,302,308,288,229,275,255,270,303,308,286,228,172,156,144,137,135
,GRAND LARCENY                         ,412,473,580,552,515,496,459,444,458,463,480,403,402,439,519,599,514,503
,GRAND LARCENY OF MOTOR VEHICLE                                  ,783,626,578,521,531,387,355,328,318,293,207,193,151,160,133,144,134,112
,TOTAL SEVEN MAJOR FELONY OFFENSES,2035,1890,1845,1763,1756,1550,1508,1434,1411,1443,1434,1276,1177,1110,1149,1244,1126,1102
46,MURDER & NON NEGL. MANSLAUGHTER                                ,23,19,16,8,18,22,18,18,15,13,12,20,13,9,14,14,14,10
,RAPE                                  ,48,71,71,70,56,45,46,43,29,24,23,32,30,28,32,25,31,39
,ROBBERY                               ,666,581,661,627,628,584,593,544,463,396,437,406,390,449,334,418,442,402
,FELONY ASSAULT                        ,641,690,663,621,524,515,492,481,399,432,410,401,451,475,517,558,578,587
,BURGLARY                              ,821,667,523,608,578,463,326,289,261,215,208,247,226,188,208,268,243,191
,GRAND LARCENY                         ,364,430,450,378,433,532,449,459,450,349,295,381,410,441,431,446,525,509
,GRAND LARCENY OF MOTOR VEHICLE                                  ,410,435,406,334,323,363,230,194,203,139,131,127,92,91,109,99,93,81
,TOTAL SEVEN MAJOR FELONY OFFENSES,2973,2893,2790,2646,2560,2524,2154,2028,1820,1568,1516,1614,1612,1681,1645,1828,1926,1819
47,MURDER & NON NEGL. MANSLAUGHTER                                ,29,17,24,27,18,11,17,18,15,18,23,21,16,9,17,11,8,8
,RAPE                                  ,57,47,64,54,39,49,42,35,30,23,37,36,30,36,35,34,39,48
,ROBBERY                               ,541,472,381,402,369,390,408,338,439,429,437,434,506,469,420,415,434,440
,FELONY ASSAULT                        ,509,423,405,380,378,373,437,423,441,436,427,487,517,561,548,586,620,671
,BURGLARY                              ,689,536,438,455,383,355,349,383,367,379,373,407,397,391,377,284,325,317
,GRAND LARCENY                         ,328,225,259,298,393,446,367,351,314,294,309,295,408,491,433,517,659,717
,GRAND LARCENY OF MOTOR VEHICLE                                  ,799,586,510,484,481,425,378,356,354,309,359,295,253,202,205,215,187,247
,TOTAL SEVEN MAJOR FELONY OFFENSES,2952,2306,2081,2100,2061,2049,1998,1904,1960,1888,1965,1975,2127,2159,2035,2062,2272,2448
