Violation Offenses,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
PCT,CRIME,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
90,HARASSMENT 2                          ,919,1003,877,675,815,761,745,670,550,580,569,560,645,648,718,762,911,1007
,OTHER VIOLATIONS (1),25,21,20,33,18,32,56,45,41,29,21,26,35,33,20,35,14,15
,TOTAL VIOLATION OFFENSES,944,1024,897,708,833,793,801,715,591,609,590,586,680,681,738,797,925,1022
94,HARASSMENT 2                          ,691,704,601,619,558,463,389,371,317,277,295,284,285,233,363,425,467,458
,OTHER VIOLATIONS (1),18,18,15,15,21,12,17,14,8,20,16,11,13,24,11,9,7,16
,TOTAL VIOLATION OFFENSES,709,722,616,634,579,475,406,385,325,297,311,295,298,257,374,434,474,474
100,HARASSMENT 2                          ,571,590,591,574,579,549,508,460,469,502,400,366,354,317,459,446,531,381
,OTHER VIOLATIONS (1),25,29,55,51,42,50,48,73,61,56,61,58,29,37,28,20,20,9
,TOTAL VIOLATION OFFENSES,596,619,646,625,621,599,556,533,530,558,461,424,383,354,487,466,551,390
101,HARASSMENT 2                          ,1429,1454,1271,940,997,1060,859,833,831,601,566,519,559,575,735,711,814,733
,OTHER VIOLATIONS (1),35,74,55,124,112,128,218,140,112,96,71,87,105,80,76,38,13,14
,TOTAL VIOLATION OFFENSES,1464,1528,1326,1064,1109,1188,1077,973,943,697,637,606,664,655,811,749,827,747
102,HARASSMENT 2                          ,1726,1827,1628,1276,997,1035,818,935,1022,977,855,855,796,870,911,879,902,880
,OTHER VIOLATIONS (1),20,56,58,55,30,35,50,47,36,36,37,33,40,59,75,52,23,26
,TOTAL VIOLATION OFFENSES,1746,1883,1686,1331,1027,1070,868,982,1058,1013,892,888,836,929,986,931,925,906
103,HARASSMENT 2                          ,1882,1904,1848,1488,1328,1174,1135,962,1112,1049,994,959,953,1102,1235,1156,1048,1020
,OTHER VIOLATIONS (1),72,91,65,113,129,90,165,104,91,91,117,134,123,103,120,87,22,14
,TOTAL VIOLATION OFFENSES,1954,1995,1913,1601,1457,1264,1300,1066,1203,1140,1111,1093,1076,1205,1355,1243,1070,1034
104,HARASSMENT 2                          ,2385,2320,2051,1624,1397,1305,1139,937,991,986,962,903,916,915,1061,845,991,1002
,OTHER VIOLATIONS (1),41,60,40,48,69,42,47,43,48,48,30,25,30,34,19,10,8,11
,TOTAL VIOLATION OFFENSES,2426,2380,2091,1672,1466,1347,1186,980,1039,1034,992,928,946,949,1080,855,999,1013
105,HARASSMENT 2                          ,1943,1886,2038,1541,1404,1207,977,962,979,956,890,903,1024,1035,1043,1209,1105,1227
,OTHER VIOLATIONS (1),30,20,24,37,17,52,35,35,31,49,40,53,51,31,27,13,23,14
,TOTAL VIOLATION OFFENSES,1973,1906,2062,1578,1421,1259,1012,997,1010,1005,930,956,1075,1066,1070,1222,1128,1241
106,HARASSMENT 2                          ,1953,1912,1807,1379,1108,1024,1134,1106,936,951,822,706,795,785,920,795,847,922
,OTHER VIOLATIONS (1),31,41,41,68,60,149,144,178,97,124,94,93,83,100,50,23,19,13
,TOTAL VIOLATION OFFENSES,1984,1953,1848,1447,1168,1173,1278,1284,1033,1075,916,799,878,885,970,818,866,935
107,HARASSMENT 2                          ,1347,1474,1470,1214,1108,883,815,878,803,823,756,714,619,705,616,657,617,694
,OTHER VIOLATIONS (1),25,38,15,27,40,44,42,28,30,25,36,29,18,17,10,17,10,8
,TOTAL VIOLATION OFFENSES,1372,1512,1485,1241,1148,927,857,906,833,848,792,743,637,722,626,674,627,702
108,HARASSMENT 2                          ,1100,1000,1007,794,871,721,742,704,653,679,695,646,661,770,799,720,667,847
,OTHER VIOLATIONS (1),103,197,73,125,94,60,61,57,45,49,35,26,23,46,48,14,18,10
,TOTAL VIOLATION OFFENSES,1203,1197,1080,919,965,781,803,761,698,728,730,672,684,816,847,734,685,857
109,HARASSMENT 2                          ,1738,1878,1794,1612,1300,1142,1004,1041,1062,1037,988,924,890,888,1134,1025,1430,1399
,OTHER VIOLATIONS (1),26,25,41,88,69,54,60,32,48,33,17,28,34,19,27,20,25,31
,TOTAL VIOLATION OFFENSES,1764,1903,1835,1700,1369,1196,1064,1073,1110,1070,1005,952,924,907,1161,1045,1455,1430
110,HARASSMENT 2                          ,1162,1231,1270,1022,950,831,817,830,724,653,578,541,562,603,626,622,661,711
,OTHER VIOLATIONS (1),96,87,93,115,114,142,168,146,176,202,166,130,107,110,97,48,28,23
,TOTAL VIOLATION OFFENSES,1258,1318,1363,1137,1064,973,985,976,900,855,744,671,669,713,723,670,689,734
111,HARASSMENT 2                          ,769,740,651,551,488,478,416,462,452,432,388,381,358,386,363,339,440,417
,OTHER VIOLATIONS (1),6,10,16,14,20,15,18,18,18,16,13,12,6,13,5,4,7,6
,TOTAL VIOLATION OFFENSES,775,750,667,565,508,493,434,480,470,448,401,393,364,399,368,343,447,423
112,HARASSMENT 2                          ,918,924,912,631,679,514,459,461,352,390,348,332,365,354,359,297,430,393
,OTHER VIOLATIONS (1),20,25,37,52,31,27,12,9,14,5,13,11,20,17,13,12,6,4
,TOTAL VIOLATION OFFENSES,938,949,949,683,710,541,471,470,366,395,361,343,385,371,372,309,436,397
113,HARASSMENT 2                          ,1187,1353,1259,947,940,872,1035,1040,976,838,788,748,724,837,771,750,801,909
,OTHER VIOLATIONS (1),49,53,49,76,92,117,74,57,51,121,95,76,69,53,43,21,26,13
,TOTAL VIOLATION OFFENSES,1236,1406,1308,1023,1032,989,1109,1097,1027,959,883,824,793,890,814,771,827,922
114,HARASSMENT 2                          ,2558,2559,2232,1546,1542,1537,1291,1144,1059,1075,1054,1060,1271,1294,1431,1273,1322,1398
,OTHER VIOLATIONS (1),47,108,125,155,170,141,90,107,80,137,98,92,85,69,62,72,38,46
,TOTAL VIOLATION OFFENSES,2605,2667,2357,1701,1712,1678,1381,1251,1139,1212,1152,1152,1356,1363,1493,1345,1360,1444
115,HARASSMENT 2                          ,1336,1401,1196,903,847,826,895,887,780,762,895,856,782,874,809,733,973,1208
,OTHER VIOLATIONS (1),66,56,51,109,119,220,244,229,269,213,139,152,114,122,109,87,29,28
,TOTAL VIOLATION OFFENSES,1402,1457,1247,1012,966,1046,1139,1116,1049,975,1034,1008,896,996,918,820,1002,1236
120,HARASSMENT 2                          ,2353,2288,1999,1752,1996,2083,2211,2162,1901,1960,2067,1840,1898,1780,1634,1651,1522,1641
,OTHER VIOLATIONS (1),51,68,56,36,41,54,53,43,33,45,56,32,23,12,8,9,9,12
,TOTAL VIOLATION OFFENSES,2404,2356,2055,1788,2037,2137,2264,2205,1934,2005,2123,1872,1921,1792,1642,1660,1531,1653
121,HARASSMENT 2                          ,,,,,,,,,,,,,,601,1138,1111,1181,1226
,OTHER VIOLATIONS (1),,,,,,,,,,,,,,7,6,7,14,11
,TOTAL VIOLATION OFFENSES,,,,,,,,,,,,,,608,1144,1118,1195,1237
122,HARASSMENT 2                          ,2460,2261,2185,1979,2243,1949,2208,2179,2042,1764,1749,1583,1590,1240,1077,1026,1074,1288
,OTHER VIOLATIONS (1),26,27,15,21,43,24,49,36,23,19,22,12,7,7,7,5,9,5
,TOTAL VIOLATION OFFENSES,2486,2288,2200,2000,2286,1973,2257,2215,2065,1783,1771,1595,1597,1247,1084,1031,1083,1293
123,HARASSMENT 2                          ,781,925,813,813,828,783,816,782,727,687,634,615,595,494,531,559,546,435
,OTHER VIOLATIONS (1),6,15,7,5,6,8,13,7,16,9,16,9,6,5,2,3,13,4
,TOTAL VIOLATION OFFENSES,787,940,820,818,834,791,829,789,743,696,650,624,601,499,533,562,559,439
DOC,HARASSMENT 2                          ,,,,,,,,,,,,,,,11,6,5,7
,OTHER VIOLATIONS (1),,,,,,,,,,,,,,,0,1,0,1
,TOTAL VIOLATION OFFENSES,,,,,,,,,,,,,,,11,7,5,8
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
CRIME CATEGORY NOTES,,,,,,,,,,,,,,,,,,,
"(1). Contains primarily Disorderly Conduct, Marijuana Possession and Trespass",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
STATISTICAL NOTES,,,,,,,,,,,,,,,,,,,
