NEIGHBORHOOD,TYPE OF HOME,NUMBER OF SALES,LOWEST SALE PRICE,AVERAGE SALE PRICE,MEDIAN SALE PRICE,HIGHEST SALE PRICE
THROGS NECK              ,03 THREE FAMILY HOMES                      ,14,"$449,000.00 ","$593,350.00 ","$566,500.00 ","$765,000.00 "
WAKEFIELD                ,01 ONE FAMILY HOMES                        ,102,"$181,000.00 ","$346,756.00 ","$350,000.00 ","$550,000.00 "
WAKEFIELD                ,02 TWO FAMILY HOMES                        ,107,"$195,000.00 ","$429,888.00 ","$430,000.00 ","$650,000.00 "
WAKEFIELD                ,03 THREE FAMILY HOMES                      ,22,"$210,000.00 ","$463,837.00 ","$463,750.00 ","$582,460.00 "
WESTCHESTER              ,01 ONE FAMILY HOMES                        ,36,"$260,000.00 ","$376,182.00 ","$365,000.00 ","$700,000.00 "
WESTCHESTER              ,02 TWO FAMILY HOMES                        ,63,"$254,800.00 ","$447,844.00 ","$445,000.00 ","$800,000.00 "
WESTCHESTER              ,03 THREE FAMILY HOMES                      ,26,"$320,000.00 ","$531,631.00 ","$545,000.00 ","$690,000.00 "
WILLIAMSBRIDGE           ,01 ONE FAMILY HOMES                        ,114,"$150,000.00 ","$339,287.00 ","$338,000.00 ","$800,000.00 "
WILLIAMSBRIDGE           ,02 TWO FAMILY HOMES                        ,219,"$150,000.00 ","$427,538.00 ","$425,000.00 ","$980,000.00 "
WILLIAMSBRIDGE           ,03 THREE FAMILY HOMES                      ,75,"$175,000.00 ","$529,149.00 ","$500,000.00 ","$810,000.00 "
WOODLAWN                 ,01 ONE FAMILY HOMES                        ,16,"$300,000.00 ","$461,163.00 ","$441,000.00 ","$715,000.00 "
WOODLAWN                 ,02 TWO FAMILY HOMES                        ,20,"$185,000.00 ","$547,980.00 ","$554,000.00 ","$700,000.00 "
WOODLAWN                 ,03 THREE FAMILY HOMES                      ,6,"$300,000.00 ","$564,008.00 ","$615,000.00 ","$654,050.00 "
