NEIGHBORHOOD,TYPE OF HOME,NUMBER OF SALES,LOWEST SALE PRICE,AVERAGE SALE PRICE,MEDIAN SALE PRICE,HIGHEST SALE PRICE
SPRING CREEK             ,01 ONE FAMILY HOMES     ,3," $	325,000.00 "," $	410,743.00 "," $	355,663.00 "," $	551,567.00 "
SUNSET PARK              ,01 ONE FAMILY HOMES     ,14," $	250,000.00 "," $	1,001,000.00 "," $	970,000.00 "," $	1,816,000.00 "
SUNSET PARK              ,02 TWO FAMILY HOMES     ,155," $	275,000.00 "," $	906,822.00 "," $	910,000.00 "," $	2,200,000.00 "
SUNSET PARK              ,03 THREE FAMILY HOMES   ,33," $	320,000.00 "," $	853,806.00 "," $	950,000.00 "," $	1,510,000.00 "
WILLIAMSBURG-CENTRAL     ,01 ONE FAMILY HOMES     ,3," $	320,000.00 "," $	1,408,333.00 "," $	700,000.00 "," $	3,205,000.00 "
WILLIAMSBURG-CENTRAL     ,02 TWO FAMILY HOMES     ,4," $	600,000.00 "," $	962,500.00 "," $	925,000.00 "," $	1,400,000.00 "
WILLIAMSBURG-CENTRAL     ,03 THREE FAMILY HOMES   ,7," $	360,000.00 "," $	661,958.00 "," $	560,037.00 "," $	967,000.00 "
WILLIAMSBURG-EAST        ,01 ONE FAMILY HOMES     ,12," $	430,000.00 "," $	1,165,000.00 "," $	1,020,000.00 "," $	2,300,000.00 "
WILLIAMSBURG-EAST        ,02 TWO FAMILY HOMES     ,28," $	325,000.00 "," $	1,257,519.00 "," $	1,256,000.00 "," $	2,315,000.00 "
WILLIAMSBURG-EAST        ,03 THREE FAMILY HOMES   ,9," $	413,480.00 "," $	1,045,942.00 "," $	1,100,000.00 "," $	1,545,000.00 "
WILLIAMSBURG-NORTH       ,01 ONE FAMILY HOMES     ,2," $	2,500,000.00 "," $	2,850,000.00 "," $	2,850,000.00 "," $	3,200,000.00 "
WILLIAMSBURG-NORTH       ,02 TWO FAMILY HOMES     ,8," $	200,000.00 "," $	1,535,156.00 "," $	1,530,000.00 "," $	2,950,000.00 "
WILLIAMSBURG-NORTH       ,03 THREE FAMILY HOMES   ,8," $	612,500.00 "," $	2,067,813.00 "," $	2,137,500.00 "," $	3,325,000.00 "
WILLIAMSBURG-SOUTH       ,02 TWO FAMILY HOMES     ,13," $	400,000.00 "," $	1,078,462.00 "," $	865,000.00 "," $	3,500,000.00 "
WILLIAMSBURG-SOUTH       ,03 THREE FAMILY HOMES   ,3," $	1,240,000.00 "," $	1,713,333.00 "," $	1,600,000.00 "," $	2,300,000.00 "
WINDSOR TERRACE          ,01 ONE FAMILY HOMES     ,8," $	675,000.00 "," $	1,028,625.00 "," $	1,002,000.00 "," $	1,470,000.00 "
WINDSOR TERRACE          ,02 TWO FAMILY HOMES     ,39," $	315,000.00 "," $	1,296,289.00 "," $	1,200,000.00 "," $	2,350,000.00 "
WINDSOR TERRACE          ,03 THREE FAMILY HOMES   ,6," $	1,075,000.00 "," $	1,632,500.00 "," $	1,507,500.00 "," $	2,425,000.00 "
WYCKOFF HEIGHTS          ,01 ONE FAMILY HOMES     ,3," $	572,500.00 "," $	631,667.00 "," $	612,500.00 "," $	710,000.00 "
WYCKOFF HEIGHTS          ,02 TWO FAMILY HOMES     ,24," $	235,000.00 "," $	550,777.00 "," $	534,188.00 "," $	1,250,000.00 "
WYCKOFF HEIGHTS          ,03 THREE FAMILY HOMES   ,10," $	350,000.00 "," $	703,300.00 "," $	707,500.00 "," $	999,000.00 "
