NEIGHBORHOOD,TYPE OF HOME,NUMBER OF SALES,LOWEST SALE PRICE,AVERAGE SALE PRICE,MEDIAN SALE PRICE,HIGHEST SALE PRICE
SUNSET PARK              ,01 ONE FAMILY HOMES                        ,27 ,"$200,000","$586,444","$560,000","$990,000"
SUNSET PARK              ,02 TWO FAMILY HOMES                        ,175 ,"$170,000","$678,696","$668,400","$2,800,000"
SUNSET PARK              ,03 THREE FAMILY HOMES                      ,71 ,"$184,750","$691,129","$699,832","$1,100,000"
WILLIAMSBURG-CENTRAL     ,02 TWO FAMILY HOMES                        ,5 ,"$150,000","$540,100","$700,000","$800,000"
WILLIAMSBURG-CENTRAL     ,03 THREE FAMILY HOMES                      ,8 ,"$170,000","$473,113","$499,950","$700,000"
WILLIAMSBURG-EAST        ,01 ONE FAMILY HOMES                        ,11 ,"$400,000","$648,955","$564,000","$925,000"
WILLIAMSBURG-EAST        ,02 TWO FAMILY HOMES                        ,42 ,"$160,000","$632,818","$689,500","$999,999"
WILLIAMSBURG-EAST        ,03 THREE FAMILY HOMES                      ,11 ,"$150,000","$808,932","$830,000","$1,400,000"
WILLIAMSBURG-NORTH       ,01 ONE FAMILY HOMES                        ,1 ,"$1,800,000","$1,800,000","$1,800,000","$1,800,000"
WILLIAMSBURG-NORTH       ,02 TWO FAMILY HOMES                        ,6 ,"$670,000","$1,026,667","$1,035,000","$1,600,000"
WILLIAMSBURG-NORTH       ,03 THREE FAMILY HOMES                      ,4 ,"$825,000","$1,056,750","$1,001,000","$1,400,000"
WILLIAMSBURG-SOUTH       ,01 ONE FAMILY HOMES                        ,2 ,"$820,000","$910,000","$910,000","$1,000,000"
WILLIAMSBURG-SOUTH       ,02 TWO FAMILY HOMES                        ,3 ,"$450,000","$1,000,000","$1,100,000","$1,450,000"
WILLIAMSBURG-SOUTH       ,03 THREE FAMILY HOMES                      ,6 ,"$300,000","$953,417","$960,000","$1,550,000"
WINDSOR TERRACE          ,01 ONE FAMILY HOMES                        ,23 ,"$415,000","$747,739","$725,000","$1,100,000"
WINDSOR TERRACE          ,02 TWO FAMILY HOMES                        ,38 ,"$250,000","$878,130","$860,000","$1,525,000"
WINDSOR TERRACE          ,03 THREE FAMILY HOMES                      ,5 ,"$815,000","$1,111,000","$960,000","$1,570,000"
WYCKOFF HEIGHTS          ,01 ONE FAMILY HOMES                        ,8 ,"$225,000","$397,563","$412,750","$640,000"
WYCKOFF HEIGHTS          ,02 TWO FAMILY HOMES                        ,33 ,"$300,000","$546,337","$575,000","$665,000"
WYCKOFF HEIGHTS          ,03 THREE FAMILY HOMES                      ,15 ,"$300,000","$612,870","$650,000","$769,000"
