NEIGHBORHOOD,BOROUGH,2015,2016,2017,BUILDING_CLASS_CATEGORY,Avg,Diff,Variance,Variance_prediction,Variance_Test
Huguenot,STATEN ISLAND,637275.0,726494.0,750453.7199381079,Condo_Elevator,681884.5,68569.21993810788,0.0913703511840317,0.12280762126046464,0.03192697870840578
Lighthouse Hill,STATEN ISLAND,1099908.0,725782.0,803950.0,Condo_Elevator,912845.0,-108895.0,-0.13544996579389265,-0.5154798548324429,0.09722992723428074
Mariners Harbor,STATEN ISLAND,361077.3333333333,378734.0,367465.4450934579,Condo_Elevator,369905.6666666666,-2440.2215732087498,-0.006640683105830878,0.04662023126169471,-0.030665617834286917
Midland Beach,STATEN ISLAND,545523.3333333334,493495.0,489914.0044410927,Condo_Elevator,519509.1666666667,-29595.162225573964,-0.060408892085738464,-0.10542828870268872,-0.007309437016385305
New Brighton,STATEN ISLAND,374375.0,354032.3333333333,449265.57845479896,Condo_Elevator,364203.6666666666,85061.91178813233,0.18933547520086827,-0.05745991185362548,0.21197538758480058
New Dorp,STATEN ISLAND,531281.3333333334,535328.5,581078.0737179487,Condo_Elevator,533304.9166666667,47773.157051282,0.08221469577334416,0.007560155431042113,0.07873223201355085
New Dorp Beach,STATEN ISLAND,360313.5,417592.5,445004.2064935065,Condo_Elevator,388953.0,56051.2064935065,0.1259565767595152,0.13716481977047001,0.061598758154450144
New Springville,STATEN ISLAND,507995.0,564284.0,651473.7536549708,Condo_Elevator,536139.5,115334.25365497079,0.17703591742247432,0.09975296127481906,0.13383463749047309
Oakwood,STATEN ISLAND,508954.5,601526.0,594302.0166666666,Condo_Elevator,555240.25,39061.766666666605,0.06572713127536912,0.15389442850350607,-0.012155407740077043
Pleasant Plains,STATEN ISLAND,708398.5,738245.5,768153.5714285714,Condo_Elevator,723322.0,44831.57142857136,0.058362771581203454,0.040429640275491015,0.038935015784604
Port Ivory,STATEN ISLAND,397423.5,319060.5,370241.30194805196,Condo_Elevator,358242.0,11999.301948051958,0.032409409444372476,-0.24560545727221014,0.13823633851426187
Port Richmond,STATEN ISLAND,331333.5,393662.3333333333,368681.89285714284,Condo_Elevator,362497.9166666666,6183.976190476213,0.016773202889224573,0.15833070135403687,-0.06775608176089601
Prince's Bay,STATEN ISLAND,575635.5,667849.5,687291.3891491023,Condo_Elevator,621742.5,65548.88914910227,0.09537277810253778,0.13807601862395644,0.028287694937037117
Richmondtown,STATEN ISLAND,575350.5,651664.5,686529.2884615385,Condo_Elevator,613507.5,73021.7884615385,0.1063636900694724,0.11710627170883177,0.05078412392232809
Rosebank,STATEN ISLAND,435936.3333333333,468264.0,567254.7204980842,Condo_Elevator,452100.1666666666,115154.55383141758,0.20300325351246942,0.06903726672703152,0.1745084120431194
Rossville,STATEN ISLAND,528928.0,576341.0,653261.63313783,Condo_Elevator,552634.5,100627.13313782995,0.15403802708339814,0.08226553377254091,0.11774858530778076
Shore Acres,STATEN ISLAND,447133.3333333333,500196.0,537200.0,Condo_Elevator,473664.6666666666,63535.33333333337,0.1182712831968231,0.10608374850391984,0.06888309754281459
Silver Lake,STATEN ISLAND,584631.0,627275.0,627779.1666666666,Condo_Elevator,605953.0,21826.166666666628,0.034767268214008315,0.06798294209078952,8.030955683725746E-4
