PCT,Name,Borough,2015,2016,2017,Avg,Diff,Variance,Variance_prediction
78,Park Slope,Brooklyn,3689.6,3690.2,3526.0,3689.8999999999996,-163.89999999999964,-0.04648326715825288,1.6259281339762319E-4
50,Fieldston,Bronx,3908.5,3982.2999999999997,3771.8,3945.3999999999996,-173.59999999999945,-0.04602577018929939,0.01853200411822307
50,Kingsbridge,Bronx,3908.5,3982.2999999999997,3771.8,3945.3999999999996,-173.59999999999945,-0.04602577018929939,0.01853200411822307
50,Marble Hill,Manhattan,3908.5,3982.2999999999997,3771.8,3945.3999999999996,-173.59999999999945,-0.04602577018929939,0.01853200411822307
50,North Riverdale,Bronx,3908.5,3982.2999999999997,3771.8,3945.3999999999996,-173.59999999999945,-0.04602577018929939,0.01853200411822307
50,Riverdale,Bronx,3908.5,3982.2999999999997,3771.8,3945.3999999999996,-173.59999999999945,-0.04602577018929939,0.01853200411822307
50,Spuyten Duyvil,Bronx,3908.5,3982.2999999999997,3771.8,3945.3999999999996,-173.59999999999945,-0.04602577018929939,0.01853200411822307
50,Van Cortlandt Park,Bronx,3908.5,3982.2999999999997,3771.8,3945.3999999999996,-173.59999999999945,-0.04602577018929939,0.01853200411822307
45,City Island,Bronx,5415.8,5356.0,5157.900000000001,5385.9,-227.9999999999991,-0.04420403652649316,-0.011165048543689354
45,Co-op City,Bronx,5415.8,5356.0,5157.900000000001,5385.9,-227.9999999999991,-0.04420403652649316,-0.011165048543689354
45,Country Club,Bronx,5415.8,5356.0,5157.900000000001,5385.9,-227.9999999999991,-0.04420403652649316,-0.011165048543689354
45,Ferry Point Park,Bronx,5415.8,5356.0,5157.900000000001,5385.9,-227.9999999999991,-0.04420403652649316,-0.011165048543689354
45,Hart Island,Bronx,5415.8,5356.0,5157.900000000001,5385.9,-227.9999999999991,-0.04420403652649316,-0.011165048543689354
45,Pelham Bay,Bronx,5415.8,5356.0,5157.900000000001,5385.9,-227.9999999999991,-0.04420403652649316,-0.011165048543689354
45,Pelham Bay Park,Bronx,5415.8,5356.0,5157.900000000001,5385.9,-227.9999999999991,-0.04420403652649316,-0.011165048543689354
45,Pelham Islands,Bronx,5415.8,5356.0,5157.900000000001,5385.9,-227.9999999999991,-0.04420403652649316,-0.011165048543689354
45,Schuylerville,Bronx,5415.8,5356.0,5157.900000000001,5385.9,-227.9999999999991,-0.04420403652649316,-0.011165048543689354
45,Throgs Neck,Bronx,5415.8,5356.0,5157.900000000001,5385.9,-227.9999999999991,-0.04420403652649316,-0.011165048543689354
5,Chinatown,Manhattan,4323.0,4379.4,4187.400000000001,4351.2,-163.79999999999927,-0.03911735205616833,0.012878476503630552
5,Civic Center,Manhattan,4323.0,4379.4,4187.400000000001,4351.2,-163.79999999999927,-0.03911735205616833,0.012878476503630552
5,Little Italy,Manhattan,4323.0,4379.4,4187.400000000001,4351.2,-163.79999999999927,-0.03911735205616833,0.012878476503630552
5,Nolita,Manhattan,4323.0,4379.4,4187.400000000001,4351.2,-163.79999999999927,-0.03911735205616833,0.012878476503630552
28,Harlem,Manhattan,5207.5,5782.4,5296.700000000001,5494.95,-198.2499999999991,-0.03742896520474995,0.09942238516878799
83,Bushwick,Brooklyn,6334.6,6276.1,6088.4,6305.35,-216.95000000000073,-0.035633335523290316,-0.009321075190006533
67,East Flatbush,Brooklyn,8830.7,9000.2,8610.400000000001,8915.45,-305.0499999999993,-0.035428086964600855,0.01883291482411502
90,Williamsburg,Brooklyn,6531.8,6345.400000000001,6246.7,6438.6,-191.90000000000055,-0.030720220276305978,-0.02937561067860176
26,Morningside Heights,Manhattan,2892.1,2981.1000000000004,2850.4000000000005,2936.6000000000004,-86.19999999999982,-0.030241369632332236,0.02985475160175789
79,Bedford-Stuyvesant,Brooklyn,6948.5,6875.7,6757.3,6912.1,-154.80000000000018,-0.02290855815192461,-0.010588012856872782
42,Claremont Village,Bronx,7326.2,7763.8,7431.7,7545.0,-113.30000000000018,-0.015245502374961339,0.056364151575259584
42,Concourse Village,Bronx,7326.2,7763.8,7431.7,7545.0,-113.30000000000018,-0.015245502374961339,0.056364151575259584
42,East Morrisania,Bronx,7326.2,7763.8,7431.7,7545.0,-113.30000000000018,-0.015245502374961339,0.056364151575259584
42,Morrisania,Bronx,7326.2,7763.8,7431.7,7545.0,-113.30000000000018,-0.015245502374961339,0.056364151575259584
94,Greenpoint,Brooklyn,3378.6000000000004,3441.0,3360.1000000000004,3409.8,-49.69999999999982,-0.014791226451593647,0.018134263295553513
76,Carroll Gardens,Brooklyn,2469.1,2584.1,2493.3,2526.6,-33.29999999999973,-0.013355793526651316,0.04450292171355598
76,Cobble Hill,Brooklyn,2469.1,2584.1,2493.3,2526.6,-33.29999999999973,-0.013355793526651316,0.04450292171355598
76,Columbia St,Brooklyn,2469.1,2584.1,2493.3,2526.6,-33.29999999999973,-0.013355793526651316,0.04450292171355598
76,Gowanus,Brooklyn,2469.1,2584.1,2493.3,2526.6,-33.29999999999973,-0.013355793526651316,0.04450292171355598
76,Red Hook,Brooklyn,2469.1,2584.1,2493.3,2526.6,-33.29999999999973,-0.013355793526651316,0.04450292171355598
120,Clifton,Staten Island,6772.200000000001,7105.299999999999,6884.4,6938.75,-54.350000000000364,-0.00789466039161007,0.046880497656678614
120,Concord,Staten Island,6772.200000000001,7105.299999999999,6884.4,6938.75,-54.350000000000364,-0.00789466039161007,0.046880497656678614
120,Fort Wadsworth,Staten Island,6772.200000000001,7105.299999999999,6884.4,6938.75,-54.350000000000364,-0.00789466039161007,0.046880497656678614
120,Grymes Hill,Staten Island,6772.200000000001,7105.299999999999,6884.4,6938.75,-54.350000000000364,-0.00789466039161007,0.046880497656678614
120,New Brighton,Staten Island,6772.200000000001,7105.299999999999,6884.4,6938.75,-54.350000000000364,-0.00789466039161007,0.046880497656678614
