PCT,CRIME,2013,2014,2015,2016,2017,Weight
24,OFFENSES AGAINST PUBLIC ADMINISTRATION (2),85,95,86,72,71,8
24,ADMINISTRATIVE CODE (6),1,2,4,3,0,8
24,FRAUDS (3),36,43,65,61,63,8
24,AGGRAVATED HARASSMENT 2,218,153,124,123,97,8
24,OTHER MISDEMEANORS (8),333,342,332,293,280,8
24,TOTAL MISDEMEANOR OFFENSES,3165,2991,3078,3077,3027,8
25,MISDEMEANOR POSSESSION OF STOLEN PROPERTY,55,21,31,11,15,8
25,MISDEMEANOR SEX CRIMES (4),46,59,79,80,108,8
25,MISDEMEANOR DANGEROUS DRUGS  (1),2044,2192,1366,1403,1528,8
25,MISDEMEANOR DANGEROUS WEAPONS (5),109,96,139,101,92,8
25,PETIT LARCENY,973,1070,1018,893,903,8
25,ASSAULT 3 AND RELATED OFFENSES,717,725,520,518,607,8
25,INTOXICATED & IMPAIRED DRIVING,127,90,64,79,64,8
25,VEHICLE AND TRAFFIC LAWS,55,35,72,70,44,8
25,MISD. CRIMINAL MISCHIEF & RELATED OFFENSES,449,865,953,836,489,8
25,CRIMINAL TRESPASS,365,532,198,208,114,8
25,UNAUTHORIZED USE OF A VEHICLE,11,12,12,11,14,8
25,OFFENSES AGAINST THE PERSON (7),14,14,27,15,11,8
25,OFFENSES AGAINST PUBLIC ADMINISTRATION (2),188,209,192,177,114,8
25,ADMINISTRATIVE CODE (6),5,6,7,6,15,8
25,FRAUDS (3),77,64,58,55,56,8
25,AGGRAVATED HARASSMENT 2,360,234,296,256,294,8
25,OTHER MISDEMEANORS (8),1405,1029,1282,1310,1126,8
25,TOTAL MISDEMEANOR OFFENSES,7000,7253,6314,6029,5594,8
26,MISDEMEANOR POSSESSION OF STOLEN PROPERTY,4,7,7,2,5,8
26,MISDEMEANOR SEX CRIMES (4),22,38,29,43,40,8
26,MISDEMEANOR DANGEROUS DRUGS  (1),395,235,268,253,226,8
26,MISDEMEANOR DANGEROUS WEAPONS (5),67,35,28,29,29,8
26,PETIT LARCENY,514,475,407,438,541,8
26,ASSAULT 3 AND RELATED OFFENSES,312,266,227,235,244,8
26,INTOXICATED & IMPAIRED DRIVING,58,43,17,32,34,8
26,VEHICLE AND TRAFFIC LAWS,26,19,17,26,19,8
26,MISD. CRIMINAL MISCHIEF & RELATED OFFENSES,230,303,331,331,381,8
26,CRIMINAL TRESPASS,192,165,65,74,73,8
26,UNAUTHORIZED USE OF A VEHICLE,7,3,4,4,5,8
26,OFFENSES AGAINST THE PERSON (7),12,20,17,15,22,8
26,OFFENSES AGAINST PUBLIC ADMINISTRATION (2),101,70,89,54,61,8
26,ADMINISTRATIVE CODE (6),2,1,3,0,1,8
26,FRAUDS (3),36,25,19,24,14,8
26,AGGRAVATED HARASSMENT 2,180,142,153,151,154,8
26,OTHER MISDEMEANORS (8),595,416,526,553,345,8
26,TOTAL MISDEMEANOR OFFENSES,2753,2263,2207,2264,2194,8
28,MISDEMEANOR POSSESSION OF STOLEN PROPERTY,33,13,11,8,3,8
28,MISDEMEANOR SEX CRIMES (4),36,32,48,52,55,8
28,MISDEMEANOR DANGEROUS DRUGS  (1),1366,1132,744,896,654,8
28,MISDEMEANOR DANGEROUS WEAPONS (5),40,34,43,35,13,8
28,PETIT LARCENY,1169,1121,1029,1135,1334,8
28,ASSAULT 3 AND RELATED OFFENSES,480,504,404,459,435,8
28,INTOXICATED & IMPAIRED DRIVING,39,35,30,20,27,8
28,VEHICLE AND TRAFFIC LAWS,37,24,28,33,44,8
28,MISD. CRIMINAL MISCHIEF & RELATED OFFENSES,345,332,355,456,464,8
28,CRIMINAL TRESPASS,166,127,125,149,105,8
28,UNAUTHORIZED USE OF A VEHICLE,5,5,5,8,8,8
28,OFFENSES AGAINST THE PERSON (7),18,7,12,5,6,8
