Neighborhood,BUILDING_CLASS_CATEGORY,BOROUGH,PCT,Variance_housing,Variance_crime,Variance_school,Variance_prediction_housing,Variance_prediction_crime,Variance_prediction_school,Variance_test_housing,score,rank,score_prediction,rank_predicted,rank_testing,rank_pred_eval,MIN_SALE_PRICE_2017_2018,MAX_SALE_PRICE_2017_2018,price,NUMBER_OF_SALES
Gowanus,Coops-Walkup,BROOKLYN,76,0.13935661342667316,-0.013355793526651316,-0.07553956834532405,0.18596610973990774,0.04450292171355598,-0.0763888888888888,0.051127554789034746,0.035232240023665116,62.14262689690614,0.02818974750132312,69.6458472362525,69.43178475590881,-0.21406248034368502,385000.0,720000.0,484000.0,6
Morris Heights,Coops-Walkup,BRONX,46,0.1357072861932461,-0.09706208223247645,-0.0014438943894390377,0.12409136113938109,-0.022944894087536506,0.025620170801138605,0.07853432101927502,0.08596140946326696,-1.0,-1.0,-1.0,-1.0,-5.312897268083077,-1.0,-1.0,-1.0,null
Stapleton,Coops-Walkup,STATEN ISLAND,120,0.073978584183052,-0.00789466039161007,-0.007010597761371814,-0.03940848545475924,0.046880497656678614,0.029446887833862394,0.09187254792611269,0.027297719180369273,-1.0,-1.0,-1.0,-1.0,13.855988941983362,-1.0,-1.0,-1.0,null
Flatiron District,Three_Family,MANHATTAN,13,0.0,-0.06703331144409284,0.003219262656553311,0.0,-0.08380938501894483,-0.003989715400301739,0.0,0.027618140241775467,-1.0,-1.0,-1.0,-1.0,-4.198942467080258,-1.0,-1.0,-1.0,null
Fordham,Condos-Walkup,BRONX,52,0.1949466391252193,-0.006578378845489072,7.55979107486385E-4,0.2436768358204707,-0.054818685983307296,0.008446717194776673,0.08325144564057103,0.07105167000889398,-1.0,-1.0,-1.0,-1.0,-16.012904253109028,-1.0,-1.0,-1.0,null
Fort Greene,Coops-Walkup,BROOKLYN,88,0.20798262141838791,-0.0911834479445062,-0.008032128514056052,0.09374448382147267,0.001842126969288669,0.023622047244094682,0.16903335165752573,0.10725926454572424,80.8059586415794,0.03797923036082364,71.7823915624309,76.4387323161974,4.6563407537665,405000.0,1655000.0,903818.1818181818,11
Grant City,Condos-Walkup,STATEN ISLAND,122,0.10953036573675176,-0.04834150701809471,0.006802721088435169,-0.030113534556687048,0.008673106486473918,0.02702702702702693,0.12273907926267887,0.059372911087209795,-1.0,-1.0,-1.0,-1.0,11.776865351017683,-1.0,-1.0,-1.0,null
New Dorp,Two_Family,STATEN ISLAND,122,0.08221469577334416,-0.04834150701809471,0.039215686274509665,0.007560155431042113,0.008673106486473918,0.040000000000000036,0.07873223201355085,0.05791566789653575,68.0202588316822,0.00917681180627518,65.49629404061797,71.07228531540731,5.575991274789345,170000.0,950000.0,616127.75,36
Westerleigh,One_Family,STATEN ISLAND,121,0.12362061626597792,-0.09269450240992776,-0.009999999999999964,0.0575236157808983,-0.048095394679912015,0.019607843137254832,0.0976679141596495,0.07784501665706338,73.18426567274095,0.04427338417959292,73.15608400590202,72.19760175734609,-0.9584822485559243,109000.0,999000.0,515509.7303370786,89
Baychester,Condos-Walkup,BRONX,47,0.13095627221967462,0.022216691554670487,0.0,0.06566626790090477,0.07898425530527753,0.019607843137254832,0.1014541975264436,0.036948018655017914,-1.0,-1.0,-1.0,-1.0,9.738536425699209,-1.0,-1.0,-1.0,null
Clinton Hill,Condos-Walkup,BROOKLYN,88,0.022409216726059503,-0.0911834479445062,0.020487307054471347,0.012892096981203577,0.001842126969288669,-0.004594820384294053,0.016066735189575274,0.049438431795541145,65.82367399868902,0.002626678059632271,64.06673424742439,67.34817791995175,3.2814436725273595,500000.0,1650000.0,955253.5714285715,14
Crotona Park,Condos-Walkup,BRONX,48,0.1678432778050108,-0.06928387141761398,0.03896124170234898,0.07833306332682534,-0.042271528647151335,0.04797905011115218,0.1339220066557066,0.09619900622438661,-1.0,-1.0,-1.0,-1.0,-1.4331106329650254,-1.0,-1.0,-1.0,null
Gerritsen Beach,Condos-Walkup,BROOKLYN,61,-0.030227013481870808,0.012301951550465047,0.021602882029264425,-0.07984187346225594,-0.0915909571096556,0.10438627943109838,0.009321788711869668,-0.010099514831524693,-1.0,-1.0,-1.0,-1.0,-4.138636868338324,-1.0,-1.0,-1.0,null
Prospect Heights,Coops-Elevator,BROOKLYN,77,-0.15660491531052814,-0.06301534286608913,-0.04724241257310672,0.13637081204341583,-0.03261375731772225,-0.006955161406253159,-0.24123932248422464,-0.04141618635552587,42.28181744775425,0.05903649679072115,76.37811778835335,52.05690216464812,-24.32121562370523,299000.0,2562780.0,878192.3773584906,53
South Slope,Two_Family,BROOKLYN,72,-0.16298111198221296,0.014801045016077277,-0.009000321440051468,0.4547459402293738,-0.02067103581880388,-6.373486297005459E-4,-0.5052296476798683,-0.06521388756021831,36.1154598161439,0.16727015625037722,100.0,36.36839138572018,-63.63160861427982,263692.0,3000000.0,1933524.6785714286,28
St. George,Coops-Walkup,STATEN ISLAND,120,0.0,-0.00789466039161007,0.0,0.0,0.046880497656678614,0.061224489795918505,0.0,0.0031578641566440283,-1.0,-1.0,-1.0,-1.0,3.6519963420793644,-1.0,-1.0,-1.0,null
Stapleton,One_Family,STATEN ISLAND,120,0.073978584183052,-0.00789466039161007,-0.007010597761371814,-0.03940848545475924,0.046880497656678614,0.029446887833862394,0.09187254792611269,0.027297719180369273,60.08666809927314,-0.02518344701337158,57.997203733115875,71.85319267509924,13.855988941983362,135000.0,595882.0,326632.0263157895,38
Throgs Neck,Coops-Elevator,BRONX,45,0.07256819931360226,-0.04420403652649316,-0.028301886792452897,0.05681627578520308,-0.011165048543689354,0.01818181818181812,0.04545124670478084,0.036005012672244825,-1.0,-1.0,-1.0,-1.0,-0.7057904545235658,-1.0,-1.0,-1.0,null
Williamsburg,Coops-Elevator,BROOKLYN,90,-0.0073153070053886635,-0.030720220276305978,0.0028540668267605317,0.11878514882126594,-0.02937561067860176,0.011913888269402519,-0.07092000296959554,0.010441247365326494,55.71889187060874,0.056303518426234406,75.78164813801367,62.17869915885489,-13.602948979158775,350000.0,675000.0,515000.0,3
Woodside,Condos-Walkup,QUEENS,108,0.058716131662877896,0.012723156380444736,5.211002162564175E-4,0.1707283231115413,-0.05233356211393273,0.041241149237472755,-0.029135125448637996,0.015591658583893471,57.05344419775871,0.09099862524398072,83.35381866852035,64.66190569643501,-18.691912972085333,283920.0,702592.0,461956.7727272727,22
