Neighborhood,BUILDING_CLASS_CATEGORY,BOROUGH,PCT,Variance_housing,Variance_crime,Variance_school,Variance_prediction_housing,Variance_prediction_crime,Variance_prediction_school,Variance_test_housing,score,rank,score_prediction,rank_predicted,rank_testing,MIN_SALE_PRICE_2017_2018,MAX_SALE_PRICE_2017_2018,price,NUMBER_OF_SALES
Greenpoint,Coop_Walkup,BROOKLYN,94,0.08748682504245764,-0.014791226451593647,-0.012693762151941316,-0.007355785926265133,0.018134263295553513,0.04537316772966314,0.09083065258760152,0.0333634388075123,61.04180727911542,0.0015150615400015832,63.185883861374734,71.07336180349385,110000.0,725000.0,406249.75,4
Huguenot,Condo_Elevator,STATEN ISLAND,123,0.0913703511840317,-0.08360121338343847,-0.006993006993006968,0.12280762126046464,-0.05428951547143899,0.0408163265306121,0.03192697870840578,0.06367185651953475,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,null
Van Nest,Coop_Walkup,BRONX,49,0.0995637325104423,-0.005552873008208563,0.02898550724637671,0.12368436843684369,0.017408452619768054,0.05797101449275359,0.04020810535015869,0.044314832393532406,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,null
Flatlands,Three_Family,BROOKLYN,63,0.1540410219303845,-0.08564491113879623,-0.02077151335311565,-0.06876005285588356,-0.014840155715465292,0.005797101449275342,0.18215843649747074,0.08297944379287414,73.76952951061669,-0.016680680851054293,59.2543942600419,76.44654717311488,835000.0,835000.0,835000.0,1
Prospect Heights,Coop_Elevator,BROOKLYN,77,-0.15660491531052814,-0.06301534286608913,-0.04724241257310672,0.13637081204341583,-0.03261375731772225,-0.006955161406253159,-0.24123932248422464,-0.04141618635552587,41.85899927327671,0.05903649679072115,75.61433661046982,51.53633314300164,299000.0,2562780.0,878192.3773584906,53
Throgs Neck,Coop_Elevator,BRONX,45,0.07256819931360226,-0.04420403652649316,-0.028301886792452897,0.05681627578520308,-0.011165048543689354,0.01818181818181812,0.04545124670478084,0.036005012672244825,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,null
Williamsburg,Coop_Elevator,BROOKLYN,90,-0.0073153070053886635,-0.030720220276305978,0.0028540668267605317,0.11878514882126594,-0.02937561067860176,0.011913888269402519,-0.07092000296959554,0.010441247365326494,55.161702951902654,0.056303518426234406,75.02383165663353,61.55691216726634,350000.0,675000.0,515000.0,3
Brownsville,Condo_Elevator,BROOKLYN,73,0.16865613076126582,-0.11853492129989839,0.05032091198937405,0.12906690993695477,-0.0511424745933844,0.01063734325300661,0.11130561145752127,0.1190238422837459,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,null
Downtown Brooklyn,Two_Family,BROOKLYN,84,0.01839575279966825,0.02342607595937262,0.02335833127890351,0.03980683716396773,0.025943678849610654,0.049377640213035444,-0.0015382828701783493,0.0029076659158607156,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,null
Mill Basin,Condo_Walkup,BROOKLYN,63,0.0220456395267914,-0.08564491113879623,0.0018274853801169175,0.13278155493144775,-0.014840155715465292,0.09154437456324259,-0.047498607413664885,0.04243080963492472,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,null
Gramercy,Coop_Elevator,MANHATTAN,13,0.2595132654867256,-0.06703331144409284,0.017312234498152917,-0.9129678328981723,-0.08380938501894483,0.03694277973893805,0.4915929203539823,0.1219710261225293,83.77182674121755,-0.2767792925720478,3.0558086060242,94.65183772472729,321500.0,1.2873554E7,1075797.3780487804,246
Greenpoint,Two_Family,BROOKLYN,94,0.08748682504245764,-0.014791226451593647,-0.012693762151941316,-0.007355785926265133,0.018134263295553513,0.04537316772966314,0.09083065258760152,0.0333634388075123,61.04180727911542,0.0015150615400015832,63.185883861374734,71.07336180349385,540500.0,2875000.0,1652676.9767441861,43
Mott Haven,Condo_Elevator,BRONX,40,0.14074148098382047,-0.14027153241667334,0.05064986864810682,0.06893115659417803,-0.03755912155624212,0.0936685794607038,0.11006951207321315,0.11803059847303321,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,null
Tompkinsville,Three_Family,STATEN ISLAND,120,0.04507657797821447,-0.00789466039161007,0.02499999999999991,-0.06596693805564889,0.046880497656678614,0.012738853503184667,0.07556756651633917,0.025184666449019066,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,null
Upper East Side,Coop_Elevator,MANHATTAN,19,-0.1017657682522046,0.07065973677592419,-0.004753820033955786,0.06241361407291787,0.07799930651872393,0.007631017843115331,-0.13725589347082442,-0.06507036860713024,35.791121349599656,-0.007447203221189486,61.24943906259949,57.6541016416792,121806.0,5.5E7,1854023.6987179487,1560
Bellerose,Condo_Walkup,QUEENS,105,0.09038768335683992,-0.053001226290391966,-0.010101010101010065,0.018996795444782125,-0.0514101331016721,0.019801980198019906,0.08166497201867011,0.05031092716579824,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,null
Coney Island,Coop_Elevator,BROOKLYN,60,0.22243198651381393,-0.11284858199304187,0.006024096385541863,-0.20084754192658302,-0.1261309855233854,0.04347826086956516,0.2933922057994833,0.1244966521734371,84.41971177037462,-0.008974680247558604,60.91940251248891,82.9908827108218,205000.0,560000.0,359473.1612903226,93
Crotona Park,Three_Family,BRONX,48,0.1678432778050108,-0.06928387141761398,0.03896124170234898,0.07833306332682534,-0.042271528647151335,0.04797905011115218,0.1339220066557066,0.09619900622438661,77.16067151610302,0.05631994615103744,75.02738113693769,73.60860161030233,250000.0,765000.0,543875.0,8
