DBN,Weight_2015,Weight_2016,Weight_2017,Variance,Latitude,Longitude,Coordinates
29Q238,2.1052631578947367,1.9,2.2,0.0897129186602872,40.712743,-73.779653,"[40.712743,-73.779653]"
13K044,2.55,2.6,2.45,-0.0510204081632653,40.686213,-73.940859,"[40.686213,-73.940859]"
84M481,2.2,2.1333333333333333,2.1875,0.009523809523809388,40.814598,-73.945,"[40.814598,-73.945]"
02M422,2.1052631578947367,1.95,2.2,0.07834928229665088,40.743407,-74.00254,"[40.743407,-74.00254]"
84X422,1.8333333333333333,2.375,2.2,0.0435606060606062,40.856531,-73.843013,"[40.856531,-73.843013]"
11X532,2.3,2.05,1.95,-0.11538461538461532,40.886002,-73.839682,"[40.886002,-73.839682]"
14K016,2.7,2.8,2.7,-0.01851851851851845,40.706069,-73.962049,"[40.706069,-73.962049]"
03M402,2.25,2.5,2.65,0.10377358490566034,40.786134,-73.974483,"[40.786134,-73.974483]"
02M255,2.45,2.5,2.65,0.06603773584905653,40.735328,-73.981536,"[40.735328,-73.981536]"
24Q153,2.35,2.4,2.3,-0.032608695652173995,40.716296,-73.904463,"[40.716296,-73.904463]"
27Q306,2.2,2.4,2.35,0.021276595744680965,40.691765,-73.849006,"[40.691765,-73.849006]"
84M384,2.3333333333333335,2.0,1.6666666666666667,-0.3000000000000001,40.805653,-73.935461,"[40.805653,-73.935461]"
29Q147,2.0,2.3,2.1,-0.023809523809523725,40.698028,-73.74014,"[40.698028,-73.74014]"
84K777,2.3333333333333335,2.375,2.5,0.058333333333333216,40.678124,-73.915106,"[40.678124,-73.915106]"
13K067,2.4,2.6,2.6,0.03846153846153849,40.695339,-73.977674,"[40.695339,-73.977674]"
84K707,2.1333333333333333,2.1875,2.125,-0.016666666666666555,40.647893,-73.97872,"[40.647893,-73.97872]"
25Q219,2.45,2.45,2.6,0.057692307692307654,40.737448,-73.823841,"[40.737448,-73.823841]"
84M861,2.111111111111111,2.4375,2.3125,0.016516516516516602,40.806055,-73.948385,"[40.806055,-73.948385]"
10X094,2.3,2.4,2.5,0.060000000000000143,40.880661,-73.875268,"[40.880661,-73.875268]"
12X242,2.75,2.65,2.65,-0.018867924528301987,40.832508,-73.878191,"[40.832508,-73.878191]"
02M407,2.3,2.55,2.6,0.0673076923076924,40.732665,-73.98259,"[40.732665,-73.98259]"
84M279,2.0,2.4375,2.5,0.1125,40.801573,-73.955583,"[40.801573,-73.955583]"
24Q267,2.65,2.7,2.2,-0.21590909090909072,40.744175,-73.937004,"[40.744175,-73.937004]"
15K039,2.4,2.6,2.6,0.03846153846153849,40.668644,-73.982909,"[40.668644,-73.982909]"
84Q704,2.1666666666666665,2.0625,1.75,-0.20833333333333318,40.676318,-73.753009,"[40.676318,-73.753009]"
02M392,2.6,2.75,2.65,-0.00943396226415091,40.743407,-74.00254,"[40.743407,-74.00254]"
32K552,2.75,2.65,2.5,-0.08000000000000007,40.696457,-73.911751,"[40.696457,-73.911751]"
03M243,2.45,2.4,2.4,-0.01041666666666663,40.785234,-73.974256,"[40.785234,-73.974256]"
21K216,2.25,2.45,2.3,-0.021739130434782726,40.59,-73.969647,"[40.59,-73.969647]"
03M333,2.35,2.25,2.1,-0.09523809523809511,40.791395,-73.971011,"[40.791395,-73.971011]"
