DBN,School Name,School Type,Enrollment,Rigorous Instruction Rating,Collaborative Teachers Rating,Supportive Environment Rating,Effective School Leadership Rating,Strong Family-Community Ties Rating,Trust Rating,Student Achievement Rating,Rigorous Instruction - Percent Positive,Collaborative Teachers - Percent Positive,Supportive Environment - Percent Positive,Effective School Leadership - Percent Positive,Strong Family-Community Ties - Percent Positive,Trust - Percent Positive,Quality Review - How interesting and challenging is the curriculum?,Quality Review - How effective is the teaching and learning?,Quality Review - How well does the school assess what students are learning?,Quality Review - How well do teachers work with each other?,Quality Review - How clearly are high expectations communicated to students and staff?,Quality Review - Dates of Review,Average Grade 8 English Proficiency,Average Grade 8 Math Proficiency,Percent English Language Learners,Percent Students with Disabilities,Percent Self-Contained,Economic Need Index,Percent in Temp Housing,Percent HRA Eligible,Percent Asian,Percent Black,Percent Hispanic,Percent White,Years of principal experience at this school,Percent of teachers with 3 or more years of experience,Student Attendance Rate,Percent of Students Chronically Absent,Teacher Attendance Rate,,,,,,,,
02M519,Talent Unlimited High School,High School,506,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,0.93,0.95,0.84,0.89,0.75,0.92,Well Developed,Proficient,Well Developed,Well Developed,Proficient,"January 14 – 15, 2013",3,2.66,0.002,0.087,0,0.459,0.042,0.312,0.049,0.334,0.399,0.204,6.9,0.828,0.934,0.176,0.978,,,,,,,,
02M520,Murry Bergtraum High School for Business Careers,High School,971,Approaching Target,Not Meeting Target,Approaching Target,Not Meeting Target,N/A,N/A,Approaching Target,0.84,0.71,0.73,0.56,0.68,0.75,Developing,Developing,Developing,Proficient,Developing,42046,2.33,2.18,0.107,0.203,0.067,0.711,0.122,0.536,0.089,0.461,0.407,0.03,0.9,0.766,0.729,0.65,0.97,,,,,,,,
02M529,Jacqueline Kennedy Onassis High School,High School,676,Approaching Target,Meeting Target,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Approaching Target,0.83,0.82,0.79,0.69,0.74,0.8,Developing,Developing,Proficient,Proficient,Proficient,41962,2.29,2.16,0.059,0.186,0.024,0.771,0.093,0.62,0.04,0.213,0.701,0.036,11,0.744,0.802,0.55,0.962,,,,,,,,
02M531,Repertory Company High School for Theatre Arts,High School,246,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Meeting Target,Exceeding Target,Exceeding Target,0.92,0.95,0.9,0.95,0.73,0.94,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,42069,2.71,2.46,0.037,0.126,0,0.624,0.081,0.459,0.016,0.374,0.504,0.085,2.3,0.538,0.928,0.263,0.978,,,,,,,,
02M533,Union Square Academy for Health Sciences,High School,319,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.89,0.81,0.82,0.75,0.69,0.83,Well Developed,Proficient,Well Developed,Well Developed,Well Developed,42117,2.42,2.35,0.103,0.144,0.006,0.719,0.085,0.574,0.16,0.201,0.567,0.047,3,0.24,0.907,0.28,0.964,,,,,,,,
02M534,Harvest Collegiate High School,High School,333,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.88,0.95,0.82,0.98,0.8,0.93,Developing,Developing,Proficient,Proficient,Proficient,41983,2.63,2.42,0.021,0.243,0.018,0.511,0.081,0.36,0.069,0.222,0.523,0.168,2.9,0.517,0.909,0.294,0.974,,,,,,,,
02M542,Manhattan Bridges High School,High School,529,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,Meeting Target,Exceeding Target,Exceeding Target,0.92,0.89,0.94,0.86,0.79,0.93,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,42026,2.07,2.31,0.531,0.023,0,0.82,0.206,0.635,0,0,1,0,12,0.909,0.92,0.256,0.971,,,,,,,,
02M543,New Design High School,High School,441,Meeting Target,Exceeding Target,Meeting Target,Approaching Target,Approaching Target,Exceeding Target,Meeting Target,0.75,0.84,0.85,0.76,0.7,0.92,Proficient,Proficient,Well Developed,Well Developed,Well Developed,42110,2.34,2.16,0.054,0.265,0.048,0.745,0.145,0.576,0.059,0.308,0.569,0.039,12,0.743,0.848,0.417,0.964,,,,,,,,
02M545,High School for Dual Language and Asian Studies,High School,416,Exceeding Target,Meeting Target,Exceeding Target,Approaching Target,Not Meeting Target,Meeting Target,Exceeding Target,0.9,0.83,0.9,0.71,0.64,0.87,Well Developed,Proficient,Well Developed,Well Developed,Proficient,42012,2.64,3.41,0.236,0.019,0,0.723,0.185,0.565,0.889,0.031,0.055,0.017,12,0.667,0.982,0.029,0.993,,,,,,,,
02M546,Academy for Software Engineering,High School,344,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.92,0.97,0.89,0.98,0.83,0.96,Proficient,Proficient,Proficient,Proficient,Proficient,41982,2.5,2.46,0.023,0.238,0,0.615,0.067,0.442,0.11,0.288,0.459,0.09,3,0.25,0.925,0.22,0.979,,,,,,,,
