DBN,School Name,School Type,Enrollment,Rigorous Instruction Rating,Collaborative Teachers Rating,Supportive Environment Rating,Effective School Leadership Rating,Strong Family-Community Ties Rating,Trust Rating,Student Achievement Rating,Rigorous Instruction - Percent Positive,Collaborative Teachers - Percent Positive,Supportive Environment - Percent Positive,Effective School Leadership - Percent Positive,Strong Family-Community Ties - Percent Positive,Trust - Percent Positive,Quality Review - How interesting and challenging is the curriculum?,Quality Review - How effective is the teaching and learning?,Quality Review - How well does the school assess what students are learning?,Quality Review - How clearly are high expectations communicated to students and staff?,Quality Review - How well do teachers work with each other?,Quality Review - Dates of Review,Average Grade 5 English Proficiency,Average Grade 5 Math Proficiency,Percent English Language Learners,Percent Students with Disabilities,Percent Self-Contained,Economic Need Index,Percent in Temp Housing,Percent HRA Eligible,Percent Asian,Percent Black,Percent Hispanic,Percent White,Years of principal experience at this school,Percent of teachers with 3 or more years of experience,Student Attendance Rate,Percent of Students Chronically Absent,Teacher Attendance Rate
29Q181,P.S. 181 Brookfield,Elementary,358,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,0.82,0.79,0.76,0.86,0.94,0.87,Proficient,Proficient,Proficient,Well Developed,Proficient,41991,,,0.031,0.237,0.137,0.573,0.106,0.441,0.017,0.846,0.087,0.008,3.9,0.818,0.934,0.23,0.97
29Q192,I.S. 192 The Linden,Middle,508,Approaching Target,Meeting Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,0.85,0.88,0.85,0.93,0.94,0.93,Proficient,Developing,Developing,Proficient,Proficient,42047,2.61,2.44,0.045,0.199,0.104,0.465,0.106,0.333,0.03,0.862,0.081,0.01,14,0.906,0.966,0.071,0.971
29Q195,P.S. 195 William Haberle,Elementary,553,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,Exceeding Target,Exceeding Target,Approaching Target,0.88,0.9,0.86,0.93,0.98,0.94,Proficient,Developing,Proficient,Proficient,Proficient,42128,,,0.018,0.193,0.089,0.516,0.103,0.392,0.009,0.917,0.056,0.005,13.9,1,0.937,0.202,0.962
29Q208,P.S./I.S. 208,K-8,727,Exceeding Target,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,0.9,0.9,0.76,0.9,0.92,0.89,Proficient,Well Developed,Well Developed,Proficient,Well Developed,42033,,,0.007,0.187,0.048,0.272,0.023,0.166,0.089,0.75,0.127,0.008,12.9,0.846,0.965,0.05,0.954
29Q238,I.S. 238 - Susan B. Anthony Academy,Middle,1498,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Approaching Target,0.7,0.64,0.63,0.7,0.78,0.79,Proficient,Developing,Developing,Proficient,Proficient,42423,2.71,2.63,0.154,0.157,0.066,0.595,0.159,0.413,0.272,0.391,0.277,0.019,4.7,0.773,0.929,0.229,0.956
29Q251,P.S. 251 Queens,Elementary,295,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,,0.83,0.75,0.74,0.8,0.92,0.88,Proficient,Proficient,Proficient,Proficient,Proficient,42083,,,0,0.227,0.095,0.503,0.068,0.41,0.014,0.912,0.037,0.014,8,0.84,0.951,0.108,0.961
29Q259,Pathways College Preparatory School: A College Boa,Middle,212,Meeting Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,Approaching Target,0.8,0.7,0.68,0.72,0.83,0.82,Proficient,Developing,Proficient,Proficient,Proficient,42137,2.84,2.62,0.005,0.17,0.005,0.383,0.038,0.311,0.052,0.863,0.047,0.005,5.8,0.781,0.967,0.06,0.952
29Q268,P.S./I.S. 268,K-8,580,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,0.84,0.79,0.77,0.85,0.87,0.86,Proficient,Proficient,Proficient,Proficient,Proficient,42125,,,0.078,0.147,0.064,0.626,0.031,0.51,0.267,0.343,0.267,0.022,11.8,0.705,0.951,0.121,0.961
29Q270,The Gordon Parks School,K-8,660,Meeting Target,Approaching Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,0.87,0.85,0.76,0.9,0.9,0.9,Proficient,Developing,Proficient,Proficient,Developing,42493,,,0.002,0.161,0.045,0.346,0.018,0.27,0.008,0.97,0.014,0,4.2,0.8,0.96,0.083,0.979
29Q283,Preparatory Academy for Writers: A College Board S,Middle,168,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,Meeting Target,Exceeding Target,0.85,0.74,0.75,0.88,0.88,0.86,Well Developed,Proficient,Well Developed,Well Developed,Well Developed,42426,2.86,2.7,0.03,0.185,0.018,0.445,0.054,0.292,0.03,0.899,0.042,0.012,6.9,0.706,0.975,0.047,0.968
